temperature,rainfall,humidity,population,water_level,pH,turbidity,flow_rate,district,month,year,day_of_week,season,is_weekend,is_holiday,income_level,industrial_activity,tourism,pipe_age,leakage_rate,storage_capacity,forecast_rainfall,forecast_temperature,demand_lag_1m,demand_lag_3m,demand_lag_6m,demand
21.5,222.7,57.9,260201,169.4,6.96,1.82,23.9,Ilala,1,2005,5,Hot,1,0,5,22,22,20,14.1,211121,283.8,20.6,819250,735607,891677,777486
25.9,141.0,84.3,163581,93.1,7.26,1.57,11.1,Ilala,2,2005,1,Hot,0,0,5,22,22,20,14.1,211121,204.6,25.7,777486,642007,724596,708776
22.1,279.3,44.5,313392,192.8,7.63,2.6,49.2,Ilala,3,2005,1,Rainy,0,0,5,22,22,20,14.1,211121,276.6,22.7,708776,808871,798609,900911
33.1,91.9,44.8,91356,159.7,6.71,1.35,54.0,Ilala,4,2005,4,Rainy,0,0,5,22,22,20,14.1,211121,54.4,32.4,900911,777486,366710,400645
28.3,240.7,51.4,441204,141.9,8.37,4.71,33.8,Ilala,5,2005,6,Rainy,1,0,5,22,22,20,14.1,211121,272.0,27.6,400645,708776,1600682,1445723
33.8,23.6,66.0,245957,194.8,7.27,2.76,11.0,Ilala,6,2005,2,Dry,0,0,5,22,22,20,14.1,211121,34.5,35.3,1445723,900911,741146,889893
34.9,297.5,59.4,78657,47.2,7.99,4.28,95.7,Ilala,7,2005,4,Dry,0,0,5,22,22,20,14.1,211121,258.8,35.3,889893,400645,777486,333939
26.4,142.3,58.9,316154,31.4,7.35,3.98,30.8,Ilala,8,2005,0,Dry,0,0,5,22,22,20,14.1,211121,186.2,26.7,333939,1445723,708776,971568
29.8,152.9,60.6,466422,31.6,7.7,3.13,11.9,Ilala,9,2005,3,Dry,0,0,5,22,22,20,14.1,211121,145.4,30.1,971568,889893,900911,1813194
29.3,48.7,79.5,302788,123.7,7.06,1.93,26.7,Ilala,10,2005,5,Dry,1,0,5,22,22,20,14.1,211121,44.4,30.0,1813194,333939,400645,1068063
34.8,228.8,90.7,320009,143.9,8.3,1.71,85.7,Ilala,11,2005,1,Rainy,0,1,5,22,22,20,14.1,211121,229.3,33.1,1068063,971568,1445723,1158056
34.1,297.6,43.7,201677,12.6,7.44,1.75,82.9,Ilala,12,2005,3,Short Rains,0,1,5,22,22,20,14.1,211121,352.2,33.3,1158056,1813194,889893,757459
24.8,255.9,85.7,96056,116.3,7.79,3.99,90.9,Ilala,1,2006,6,Hot,1,0,5,22,22,20,14.1,211121,337.5,25.1,757459,1068063,333939,320120
32.0,274.2,51.2,294260,97.2,6.73,2.27,25.1,Ilala,2,2006,2,Hot,0,0,5,22,22,20,14.1,211121,369.8,31.7,320120,1158056,971568,1097028
31.5,126.9,91.6,376486,155.0,8.04,0.98,55.9,Ilala,3,2006,2,Rainy,0,0,5,22,22,20,14.1,211121,116.7,30.8,1097028,757459,1813194,1400735
24.8,177.5,55.7,93291,163.7,7.39,3.04,96.3,Ilala,4,2006,5,Rainy,1,0,5,22,22,20,14.1,211121,164.4,25.9,1400735,320120,1068063,406892
24.2,25.1,54.7,296276,100.9,7.74,0.55,34.7,Ilala,5,2006,0,Rainy,0,0,5,22,22,20,14.1,211121,16.8,24.3,406892,1097028,1158056,1180296
21.7,287.2,67.7,178118,57.6,8.35,3.15,11.5,Ilala,6,2006,3,Dry,0,0,5,22,22,20,14.1,211121,367.7,21.6,1180296,1400735,757459,704749
31.5,183.2,75.6,92166,61.4,8.47,4.14,80.1,Ilala,7,2006,5,Dry,1,0,5,22,22,20,14.1,211121,236.9,31.9,704749,406892,320120,342860
28.1,39.7,53.4,171484,108.7,7.33,3.3,79.2,Ilala,8,2006,1,Dry,0,0,5,22,22,20,14.1,211121,20.8,28.6,342860,1180296,1097028,846535
33.2,248.8,41.5,164101,151.5,8.39,1.16,57.1,Ilala,9,2006,4,Dry,0,0,5,22,22,20,14.1,211121,334.3,32.7,846535,704749,1400735,636948
24.7,132.7,84.2,328154,20.3,6.92,1.17,47.1,Ilala,10,2006,6,Dry,1,0,5,22,22,20,14.1,211121,197.8,24.3,636948,342860,406892,1244688
22.7,131.2,71.7,148707,135.9,8.31,4.99,21.4,Ilala,11,2006,2,Rainy,0,0,5,22,22,20,14.1,211121,124.3,23.8,1244688,846535,1180296,614364
32.4,269.9,58.4,157986,109.0,7.68,1.37,67.9,Ilala,12,2006,4,Short Rains,0,0,5,22,22,20,14.1,211121,393.9,31.1,614364,636948,704749,581365
28.7,106.7,52.8,413626,91.6,7.05,0.83,31.0,Ilala,1,2007,0,Hot,0,0,5,22,22,20,14.1,211121,114.7,29.4,581365,1244688,342860,1350959
23.9,47.9,70.4,390487,179.6,7.22,2.95,88.3,Ilala,2,2007,3,Hot,0,0,5,22,22,20,14.1,211121,50.2,24.5,1350959,614364,846535,1626538
20.3,209.4,86.9,115086,12.3,8.23,3.63,61.3,Ilala,3,2007,3,Rainy,0,0,5,22,22,20,14.1,211121,222.0,21.1,1626538,581365,636948,463630
25.1,222.8,54.6,321246,106.7,6.9,1.66,13.5,Ilala,4,2007,6,Rainy,1,0,5,22,22,20,14.1,211121,176.2,26.3,463630,1350959,1244688,1065310
28.6,19.4,71.1,378564,58.4,8.36,2.35,44.3,Ilala,5,2007,1,Rainy,0,0,5,22,22,20,14.1,211121,12.8,27.7,1065310,1626538,614364,1431312
22.4,257.6,55.4,117463,56.9,6.5,1.43,88.0,Ilala,6,2007,4,Dry,0,0,5,22,22,20,14.1,211121,279.7,22.5,1431312,463630,581365,448017
24.1,20.8,47.2,388723,183.9,7.82,3.55,15.4,Ilala,7,2007,6,Dry,1,0,5,22,22,20,14.1,211121,17.4,25.1,448017,1065310,1350959,1635783
22.0,191.0,48.0,443402,100.5,8.28,4.09,29.4,Ilala,8,2007,2,Dry,0,0,5,22,22,20,14.1,211121,190.9,20.9,1635783,1431312,1626538,1636237
25.9,64.4,79.3,475578,92.7,7.86,2.92,67.3,Ilala,9,2007,5,Dry,1,0,5,22,22,20,14.1,211121,33.0,27.1,1636237,448017,463630,1522366
22.8,4.9,59.2,417684,92.2,8.25,3.91,87.3,Ilala,10,2007,0,Dry,0,0,5,22,22,20,14.1,211121,3.5,21.9,1522366,1635783,1065310,1734277
33.2,182.9,87.2,229572,29.5,6.57,3.68,12.3,Ilala,11,2007,3,Rainy,0,0,5,22,22,20,14.1,211121,251.4,34.6,1734277,1636237,1431312,947975
23.5,293.7,62.1,325176,102.8,7.49,1.09,98.5,Ilala,12,2007,5,Short Rains,1,0,5,22,22,20,14.1,211121,160.6,23.5,947975,1522366,448017,1118225
27.4,36.4,52.6,359035,107.4,8.46,2.49,55.6,Ilala,1,2008,1,Hot,0,0,5,22,22,20,14.1,211121,27.1,27.2,1118225,1734277,1635783,1107832
30.5,285.0,65.8,386012,28.4,7.41,2.21,92.3,Ilala,2,2008,4,Hot,0,0,5,22,22,20,14.1,211121,227.6,29.2,1107832,947975,1636237,1504389
26.5,10.2,71.1,413271,106.4,7.13,2.94,52.8,Ilala,3,2008,5,Rainy,1,0,5,22,22,20,14.1,211121,6.5,27.6,1504389,1118225,1522366,1286118
29.0,256.4,67.1,449133,116.6,7.09,1.05,24.2,Ilala,4,2008,1,Rainy,0,0,5,22,22,20,14.1,211121,244.1,28.4,1286118,1107832,1734277,1756822
23.3,109.5,40.5,370969,37.4,7.82,3.04,95.1,Ilala,5,2008,3,Rainy,0,1,5,22,22,20,14.1,211121,88.9,24.4,1756822,1504389,947975,1310181
27.6,217.4,61.5,268322,70.0,7.83,4.35,63.2,Ilala,6,2008,6,Dry,1,0,5,22,22,20,14.1,211121,135.3,27.9,1310181,1286118,1118225,1069769
32.6,19.5,51.6,267471,196.2,6.79,3.43,47.2,Ilala,7,2008,1,Dry,0,0,5,22,22,20,14.1,211121,22.8,31.2,1069769,1756822,1107832,908457
30.6,282.9,59.3,115580,174.0,6.5,4.17,84.7,Ilala,8,2008,4,Dry,0,0,5,22,22,20,14.1,211121,268.1,30.2,908457,1310181,1504389,508686
27.8,162.4,77.3,91901,59.4,7.67,1.32,58.3,Ilala,9,2008,0,Dry,0,0,5,22,22,20,14.1,211121,237.7,27.8,508686,1069769,1286118,467983
24.4,232.7,78.5,410541,129.0,7.71,4.75,91.7,Ilala,10,2008,2,Dry,0,0,5,22,22,20,14.1,211121,181.7,25.5,467983,908457,1756822,1476882
30.5,267.7,72.8,266748,56.9,7.99,4.02,90.1,Ilala,11,2008,5,Rainy,1,0,5,22,22,20,14.1,211121,296.7,29.2,1476882,508686,1310181,1098499
34.1,247.5,67.2,56739,109.1,6.53,0.72,19.3,Ilala,12,2008,0,Short Rains,0,0,5,22,22,20,14.1,211121,290.7,32.4,1098499,467983,1069769,230056
22.9,54.8,59.3,440304,122.9,6.63,0.91,24.4,Ilala,1,2009,3,Hot,0,0,5,22,22,20,14.1,211121,55.0,21.9,230056,1476882,908457,1395625
24.2,201.0,68.0,240817,92.9,7.41,1.38,14.8,Ilala,2,2009,6,Hot,1,1,5,22,22,20,14.1,211121,109.5,23.3,1395625,1098499,508686,1027518
34.5,185.1,53.2,286292,194.1,7.45,3.11,21.9,Ilala,3,2009,6,Rainy,1,0,5,22,22,20,14.1,211121,105.4,35.5,1027518,230056,467983,838044
